lead_id,lead_date,patient_id,lead_source,campaign,clinic,lead_status,first_response_minutes,appointment_booked,appointment_date
L00001,2025-09-26,P00001,Google Organic,Root Canal,Clinic D,Appointment Booked,17,Yes,2025-02-10
L00002,2025-07-06,P00002,Facebook,Invisalign,Clinic A,Appointment Booked,14,Yes,
L00003,2025-09-27,,Google Organic,Dental Implant,Clinic A,Contacted - No Appointment,14,No,
L00004,2025-11-07,P00004,Google Ads,Teeth Whitening,Clinic D,Appointment Booked,18,Yes,
L00005,2025-09-02,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,28,No,
L00006,2025-06-04,P00006,Google Organic,Root Canal,Clinic A,Appointment Booked,8,Yes,
L00007,2025-01-26,P00007,Google Ads,Dental Crown,Clinic A,Appointment Booked,17,Yes,2025-02-02
L00008,2025-11-06,P00008,Google Ads,Invisalign,Clinic B,Appointment Booked,7,Yes,
L00009,2025-06-18,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,19,No,
L00010,2025-11-01,P00010,Google Organic,Dental Implant,Clinic C,Appointment Booked,8,Yes,2025-06-11
L00011,2025-12-05,P00011,Referral,Root Canal,Clinic D,Appointment Booked,18,Yes,
L00012,2025-10-05,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,42,No,
L00013,2025-04-22,P00013,Google Organic,General Dentistry,Clinic C,Appointment Booked,23,Yes,2025-06-05
L00014,2025-09-03,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,31,No,
L00015,2025-05-02,P00015,Google Ads,Teeth Whitening,Clinic B,Appointment Booked,6,Yes,2025-10-05
L00016,2025-09-04,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,12,No,
L00017,2025-03-27,,Instagram,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00018,2025-02-27,P00018,Facebook,Root Canal,Clinic D,Appointment Booked,19,Yes,2025-08-03
L00019,2025-06-11,P00019,Google Ads,Invisalign,Clinic B,Appointment Booked,14,Yes,
L00020,2025-08-03,P00020,Facebook,General Dentistry,Clinic C,Appointment Booked,27,Yes,2025-07-08
L00021,2025-02-22,P00021,Instagram,Dental Implant,Clinic A,Appointment Booked,74,Yes,
L00022,2025-03-11,P00022,Facebook,Dental Implant,Clinic C,Appointment Booked,18,Yes,
L00023,2025-02-08,,Google Organic,Dental Implant,Clinic C,Contacted - No Appointment,11,No,
L00024,2025-04-17,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,12,No,
L00025,2025-01-02,P00025,Google Organic,Dental Implant,Clinic D,Appointment Booked,14,Yes,
L00026,2025-07-04,P00026,Referral,General Dentistry,Clinic C,Appointment Booked,23,Yes,2025-11-07
L00027,2025-01-15,P00027,Google Ads,Root Canal,Clinic B,Appointment Booked,15,Yes,
L00028,2025-04-24,P00028,Instagram,Dental Implant,Clinic D,Appointment Booked,1,Yes,2025-01-05
L00029,2025-03-07,,Referral,Root Canal,Clinic A,Contacted - No Appointment,9,No,
L00030,2025-12-18,,Instagram,Invisalign,Clinic B,Contacted - No Appointment,12,No,
L00031,2025-04-23,P00031,Google Organic,Dental Crown,Clinic B,Appointment Booked,5,Yes,
L00032,2025-04-18,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,29,No,
L00033,2025-03-08,,Instagram,Root Canal,Clinic D,Not Contacted/Cold,63,No,
L00034,2025-05-04,,Google Ads,Dental Implant,Clinic B,Contacted - No Appointment,36,No,
L00035,2025-03-12,P00035,Referral,Dental Crown,Clinic D,Appointment Booked,49,Yes,
L00036,2025-11-29,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,41,No,
L00037,2025-06-03,,Referral,Teeth Whitening,Clinic B,Contacted - No Appointment,9,No,
