date,platform,campaign,clinic,spend,impressions,clicks,leads
2025-01-01,Google Ads,Dental Implant,Clinic A,6831.64,109553,6864,26
2025-01-01,Google Ads,Invisalign,Clinic A,7776.42,113786,4413,22
2025-01-01,Google Ads,Root Canal,Clinic A,6365.1,66035,3752,32
2025-01-01,Meta Ads,Dental Crown,Clinic A,7674.99,131842,8084,41
2025-01-01,Meta Ads,Teeth Whitening,Clinic A,2581.42,43571,2704,17
2025-01-01,Meta Ads,General Dentistry,Clinic A,4785.94,54480,1886,54
2025-01-01,Google Ads,Dental Implant,Clinic B,10440.02,120962,3053,37
2025-01-01,Instagram,Invisalign,Clinic B,8595.09,126980,3804,24
2025-01-01,Google Ads,Root Canal,Clinic B,7974.14,82291,2639,47
2025-01-01,Google Ads,Dental Crown,Clinic B,4387.33,65888,3940,27
2025-01-01,Google Ads,Teeth Whitening,Clinic B,2889.49,31481,1472,23
2025-01-01,Google Ads,General Dentistry,Clinic B,5098.24,40952,1024,51
2025-01-01,Meta Ads,Dental Implant,Clinic C,10400.98,165020,7452,34
2025-01-01,Google Ads,Invisalign,Clinic C,8751.77,94251,4899,27
2025-01-01,Meta Ads,Root Canal,Clinic C,7182.82,123872,3640,36
2025-01-01,Meta Ads,Dental Crown,Clinic C,3178.65,47833,1443,12
2025-01-01,Meta Ads,Teeth Whitening,Clinic C,3541.72,36315,1877,30
2025-01-01,Meta Ads,General Dentistry,Clinic C,4792.31,53568,2900,39
2025-01-01,Google Ads,Dental Implant,Clinic D,9533.14,77319,2852,28
2025-01-01,Instagram,Invisalign,Clinic D,8014.34,127835,7820,19
2025-01-01,Meta Ads,Root Canal,Clinic D,5791.24,62370,1678,36
2025-01-01,Google Ads,Dental Crown,Clinic D,4702.42,43704,1435,27
2025-01-01,Google Ads,Teeth Whitening,Clinic D,3693.87,65933,3638,32
2025-01-01,Google Ads,General Dentistry,Clinic D,3851.92,51721,1620,34
2025-01-02,Google Ads,Dental Implant,Clinic A,8151.26,69221,2271,23
2025-01-02,Google Ads,Invisalign,Clinic A,7125.05,113398,5140,22
2025-01-02,Meta Ads,Root Canal,Clinic A,7571.54,81509,4537,39
2025-01-02,Google Ads,Dental Crown,Clinic A,2923.15,41619,1774,11
2025-01-02,Meta Ads,Teeth Whitening,Clinic A,3963.68,40749,2494,33
2025-01-02,Meta Ads,General Dentistry,Clinic A,4954.22,51517,1784,51
2025-01-02,Instagram,Dental Implant,Clinic B,7371.12,92034,5652,26
2025-01-02,Meta Ads,Invisalign,Clinic B,6411.38,97837,3527,17
2025-01-02,Meta Ads,Root Canal,Clinic B,7876.35,82425,4395,49
2025-01-02,Meta Ads,Dental Crown,Clinic B,4479.45,50674,1981,24
2025-01-02,Meta Ads,Teeth Whitening,Clinic B,3980.26,61723,2871,36
2025-01-02,Google Ads,General Dentistry,Clinic B,4051.22,50350,2713,38
2025-01-02,Meta Ads,Dental Implant,Clinic C,8984.84,115135,4899,26
2025-01-02,Google Ads,Invisalign,Clinic C,10744.64,150392,6029,19
2025-01-02,Instagram,Root Canal,Clinic C,7362.92,117898,5141,37
2025-01-02,Meta Ads,Dental Crown,Clinic C,4980.57,73681,4227,32
2025-01-02,Instagram,Teeth Whitening,Clinic C,3181.35,30790,1488,29
2025-01-02,Meta Ads,General Dentistry,Clinic C,5997.48,95533,3032,61
2025-01-02,Meta Ads,Dental Implant,Clinic D,7385.74,75970,3174,25
2025-01-02,Meta Ads,Invisalign,Clinic D,7133.67,108499,6947,18
2025-01-02,Google Ads,Root Canal,Clinic D,5016.13,42624,1369,23
2025-01-02,Google Ads,Dental Crown,Clinic D,5379.72,85397,4190,29
2025-01-02,Meta Ads,Teeth Whitening,Clinic D,2550.45,24953,1212,28
2025-01-02,Meta Ads,General Dentistry,Clinic D,4630.67,72860,2091,48
2025-01-03,Meta Ads,Dental Implant,Clinic A,10893.65,130690,5493,34
2025-01-03,Meta Ads,Invisalign,Clinic A,6860.27,77010,4561,18
2025-01-03,Google Ads,Root Canal,Clinic A,7240.98,76751,2322,38
2025-01-03,Google Ads,Dental Crown,Clinic A,4160.06,52159,3103,22
2025-01-03,Meta Ads,Teeth Whitening,Clinic A,4203.84,37845,1868,39
2025-01-03,Google Ads,General Dentistry,Clinic A,2194.58,23375,1360,16
2025-01-03,Google Ads,Dental Implant,Clinic B,7442.02,91659,2414,36
2025-01-03,Meta Ads,Invisalign,Clinic B,7171.04,87274,4134,19
2025-01-03,Google Ads,Root Canal,Clinic B,7260.28,65380,2237,39
2025-01-03,Google Ads,Dental Crown,Clinic B,4871.89,84049,3674,31
2025-01-03,Meta Ads,Teeth Whitening,Clinic B,3414.74,49196,2541,32
2025-01-03,Google Ads,General Dentistry,Clinic B,5412.24,94513,5762,53
2025-01-03,Instagram,Dental Implant,Clinic C,7042.52,96861,4053,26
2025-01-03,Google Ads,Invisalign,Clinic C,8875.81,141134,5049,30
2025-01-03,Instagram,Root Canal,Clinic C,7146.61,61238,2856,31
2025-01-03,Google Ads,Dental Crown,Clinic C,5780.4,97892,5451,30
2025-01-03,Google Ads,Teeth Whitening,Clinic C,2597.29,38397,1493,25
2025-01-03,Google Ads,General Dentistry,Clinic C,3741.55,55625,1806,38
2025-01-03,Meta Ads,Dental Implant,Clinic D,10994.16,114994,4302,28
2025-01-03,Google Ads,Invisalign,Clinic D,6739.91,67076,2709,10
2025-01-03,Google Ads,Root Canal,Clinic D,7232.33,60090,1977,33
2025-01-03,Meta Ads,Dental Crown,Clinic D,3747.76,55581,2433,23
2025-01-03,Meta Ads,Teeth Whitening,Clinic D,2943.71,30513,1707,30
2025-01-03,Google Ads,General Dentistry,Clinic D,3142.14,47347,2272,24
2025-01-04,Meta Ads,Dental Implant,Clinic A,10651.09,179545,4986,29
2025-01-04,Meta Ads,Invisalign,Clinic A,9303.61,99459,4143,29
2025-01-04,Google Ads,Root Canal,Clinic A,7865.51,125445,5366,40
2025-01-04,Instagram,Dental Crown,Clinic A,4943.57,54859,1536,32
2025-01-04,Google Ads,Teeth Whitening,Clinic A,4365.71,35784,2084,36
2025-01-04,Google Ads,General Dentistry,Clinic A,3417.57,59379,2430,33
2025-01-04,Meta Ads,Dental Implant,Clinic B,8469.35,121599,7828,27
2025-01-04,Meta Ads,Invisalign,Clinic B,6400.07,69364,2929,26
2025-01-04,Google Ads,Root Canal,Clinic B,6393.46,60405,3422,26
2025-01-04,Google Ads,Dental Crown,Clinic B,5169.45,89377,4284,20
2025-01-04,Google Ads,Teeth Whitening,Clinic B,2655.76,26036,801,19
2025-01-04,Meta Ads,General Dentistry,Clinic B,4139.12,42073,1928,40
2025-01-04,Google Ads,Dental Implant,Clinic C,10003.63,148995,5162,27
2025-01-04,Google Ads,Invisalign,Clinic C,9099.63,79102,3116,30
2025-01-04,Meta Ads,Root Canal,Clinic C,5933.69,84861,3084,29
2025-01-04,Google Ads,Dental Crown,Clinic C,6485.47,84200,5114,36
2025-01-04,Google Ads,Teeth Whitening,Clinic C,3673.51,59389,2236,39
2025-01-04,Meta Ads,General Dentistry,Clinic C,4819.48,56676,3280,49
2025-01-04,Meta Ads,Dental Implant,Clinic D,9669.22,80341,3238,31
2025-01-04,Google Ads,Invisalign,Clinic D,10054.52,98954,3067,32
2025-01-04,Google Ads,Root Canal,Clinic D,6954.51,121283,7405,34
2025-01-04,Google Ads,Dental Crown,Clinic D,5709.54,92065,2532,33
2025-01-04,Google Ads,Teeth Whitening,Clinic D,3533.7,42158,2152,37
2025-01-04,Google Ads,General Dentistry,Clinic D,3299.09,31602,1459,28
2025-01-05,Meta Ads,Dental Implant,Clinic A,7463.96,128001,6999,25
2025-01-05,Google Ads,Invisalign,Clinic A,8318.49,94955,3585,21
2025-01-05,Meta Ads,Root Canal,Clinic A,7939.99,106163,3770,36
2025-01-05,Google Ads,Dental Crown,Clinic A,4852.63,76865,4569,28
2025-01-05,Google Ads,Teeth Whitening,Clinic A,4258.76,52554,2510,41
2025-01-05,Google Ads,General Dentistry,Clinic A,5440.82,76311,2324,50
2025-01-05,Instagram,Dental Implant,Clinic B,8397.3,114517,6445,30
2025-01-05,Google Ads,Invisalign,Clinic B,5338.48,83290,3677,23
2025-01-05,Meta Ads,Root Canal,Clinic B,7055.25,93658,4069,40
2025-01-05,Google Ads,Dental Crown,Clinic B,4465.77,63009,3661,21
2025-01-05,Meta Ads,Teeth Whitening,Clinic B,3415.35,58525,2557,28
2025-01-05,Meta Ads,General Dentistry,Clinic B,4502.78,77558,2749,43
2025-01-05,Instagram,Dental Implant,Clinic C,7423.78,76138,2809,24
2025-01-05,Meta Ads,Invisalign,Clinic C,9030.73,152259,8362,25
2025-01-05,Meta Ads,Root Canal,Clinic C,7022.03,66503,2866,31
2025-01-05,Google Ads,Dental Crown,Clinic C,5800.43,64993,1731,34
2025-01-05,Google Ads,Teeth Whitening,Clinic C,3475.37,36422,957,35
2025-01-05,Meta Ads,General Dentistry,Clinic C,4303.89,56642,1935,38
2025-01-05,Google Ads,Dental Implant,Clinic D,9089.48,90934,5467,29
2025-01-05,Meta Ads,Invisalign,Clinic D,8351.77,84796,5407,35
2025-01-05,Instagram,Root Canal,Clinic D,7771.02,71434,4016,38
2025-01-05,Google Ads,Dental Crown,Clinic D,5057.32,60299,1791,20
2025-01-05,Meta Ads,Teeth Whitening,Clinic D,3323.71,34267,2032,24
2025-01-05,Google Ads,General Dentistry,Clinic D,4232.07,41452,1992,45
2025-01-06,Meta Ads,Dental Implant,Clinic A,6558.62,73454,2533,25
2025-01-06,Instagram,Invisalign,Clinic A,9593.97,95379,4908,30
2025-01-06,Meta Ads,Root Canal,Clinic A,5369.52,80381,3974,26
2025-01-06,Meta Ads,Dental Crown,Clinic A,4480.54,63842,3162,21
2025-01-06,Meta Ads,Teeth Whitening,Clinic A,3918.21,42180,1320,37
2025-01-06,Google Ads,General Dentistry,Clinic A,4584.91,42968,2584,45
2025-01-06,Google Ads,Dental Implant,Clinic B,7610.69,68751,1980,23
2025-01-06,Google Ads,Invisalign,Clinic B,5948.89,103074,4994,17
2025-01-06,Instagram,Root Canal,Clinic B,6765.24,117619,3631,40
2025-01-06,Google Ads,Dental Crown,Clinic B,5219.24,83881,3090,31
2025-01-06,Google Ads,Teeth Whitening,Clinic B,3676.17,62772,1750,33
2025-01-06,Google Ads,General Dentistry,Clinic B,5235.02,85054,2755,50
2025-01-06,Meta Ads,Dental Implant,Clinic C,4698.56,62769,2304,15
2025-01-06,Meta Ads,Invisalign,Clinic C,7402.51,130825,4135,21
2025-01-06,Google Ads,Root Canal,Clinic C,5825.28,78545,4696,30
2025-01-06,Instagram,Dental Crown,Clinic C,5577.52,87946,3088,23
2025-01-06,Meta Ads,Teeth Whitening,Clinic C,2642.07,23623,975,18
2025-01-06,Google Ads,General Dentistry,Clinic C,3652.59,44948,2772,31
2025-01-06,Meta Ads,Dental Implant,Clinic D,9112.94,146307,8539,31
2025-01-06,Meta Ads,Invisalign,Clinic D,6763.34,92473,3028,26
2025-01-06,Meta Ads,Root Canal,Clinic D,8145.2,138675,4203,43
2025-01-06,Meta Ads,Dental Crown,Clinic D,4428.66,76480,4203,22
2025-01-06,Meta Ads,Teeth Whitening,Clinic D,4280.97,48822,2168,45
2025-01-06,Google Ads,General Dentistry,Clinic D,3841.29,31634,1993,45
2025-01-07,Meta Ads,Dental Implant,Clinic A,7504.09,69580,4251,27
2025-01-07,Meta Ads,Invisalign,Clinic A,12849.69,133148,8189,32
2025-01-07,Google Ads,Root Canal,Clinic A,7219.37,113525,4572,36
2025-01-07,Google Ads,Dental Crown,Clinic A,5488.15,57847,3507,36
2025-01-07,Meta Ads,Teeth Whitening,Clinic A,3417.34,31719,1965,34
2025-01-07,Meta Ads,General Dentistry,Clinic A,5651.64,71911,2531,63
2025-01-07,Meta Ads,Dental Implant,Clinic B,9708.46,84672,2979,33
2025-01-07,Meta Ads,Invisalign,Clinic B,7006.96,68998,2738,22
2025-01-07,Google Ads,Root Canal,Clinic B,7537.14,125020,5276,44
2025-01-07,Meta Ads,Dental Crown,Clinic B,5039.09,75606,4650,30
2025-01-07,Google Ads,Teeth Whitening,Clinic B,2724.56,46476,2365,23
