Lead_ID,Lead_Date,Patient_ID,Lead_Source,Campaign,Clinic,Lead_Status,First_Response_Minutes,Appointment_Booked,Appointment_Date
L00001,26-09-2025,P00001,Google Organic,Root Canal,Clinic D,Appointment Booked,17,Yes,02-10-2025
L00002,06-07-2025,P00002,Facebook,Invisalign,Clinic A,Appointment Booked,14,Yes,13-07-2025
L00003,27-09-2025,,Google Organic,Dental Implant,Clinic A,Contacted - No Appointment,14,No,
L00004,07-11-2025,P00004,Google Ads,Teeth Whitening,Clinic D,Appointment Booked,18,Yes,13-11-2025
L00005,02-09-2025,,Google Ads,General Dentistry,Clinic C,Contacted - No Appointment,28,No,
L00006,04-06-2025,P00006,Google Organic,Root Canal,Clinic A,Appointment Booked,8,Yes,18-06-2025
L00007,26-01-2025,P00007,Google Ads,Dental Crown,Clinic A,Appointment Booked,17,Yes,02-02-2025
L00008,06-11-2025,P00008,Google Ads,Invisalign,Clinic B,Appointment Booked,7,Yes,15-11-2025
L00009,18-06-2025,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,19,No,
L00010,01-11-2025,P00010,Google Organic,Dental Implant,Clinic C,Appointment Booked,8,Yes,06-11-2025
L00011,05-12-2025,P00011,Referral,Root Canal,Clinic D,Appointment Booked,18,Yes,17-12-2025
L00012,05-10-2025,,Google Organic,Dental Crown,Clinic B,Contacted - No Appointment,42,No,
L00013,22-04-2025,P00013,Google Organic,General Dentistry,Clinic C,Appointment Booked,23,Yes,06-05-2025
L00014,03-09-2025,,Facebook,Root Canal,Clinic C,Contacted - No Appointment,31,No,
L00015,02-05-2025,P00015,Google Ads,Teeth Whitening,Clinic B,Appointment Booked,6,Yes,10-05-2025
L00016,04-09-2025,,Google Ads,Dental Crown,Clinic A,Contacted - No Appointment,12,No,
L00017,27-03-2025,,Instagram,General Dentistry,Clinic D,Contacted - No Appointment,21,No,
L00018,27-02-2025,P00018,Facebook,Root Canal,Clinic D,Appointment Booked,19,Yes,08-03-2025
L00019,11-06-2025,P00019,Google Ads,Invisalign,Clinic B,Appointment Booked,14,Yes,21-06-2025
L00020,03-08-2025,P00020,Facebook,General Dentistry,Clinic C,Appointment Booked,27,Yes,07-08-2025
L00021,22-02-2025,P00021,Instagram,Dental Implant,Clinic A,Appointment Booked,74,Yes,28-02-2025
L00022,11-03-2025,P00022,Facebook,Dental Implant,Clinic C,Appointment Booked,18,Yes,22-03-2025
L00023,08-02-2025,,Google Organic,Dental Implant,Clinic C,Contacted - No Appointment,11,No,
L00024,17-04-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,12,No,
L00025,02-01-2025,P00025,Google Organic,Dental Implant,Clinic D,Appointment Booked,14,Yes,14-01-2025
L00026,04-07-2025,P00026,Referral,General Dentistry,Clinic C,Appointment Booked,23,Yes,11-07-2025
L00027,15-01-2025,P00027,Google Ads,Root Canal,Clinic B,Appointment Booked,15,Yes,28-01-2025
L00028,24-04-2025,P00028,Instagram,Dental Implant,Clinic D,Appointment Booked,1,Yes,01-05-2025
L00029,07-03-2025,,Referral,Root Canal,Clinic A,Contacted - No Appointment,9,No,
L00030,18-12-2025,,Instagram,Invisalign,Clinic B,Contacted - No Appointment,12,No,
L00031,23-04-2025,P00031,Google Organic,Dental Crown,Clinic B,Appointment Booked,5,Yes,28-04-2025
L00032,18-04-2025,,Facebook,Dental Crown,Clinic B,Contacted - No Appointment,29,No,
L00033,08-03-2025,,Instagram,Root Canal,Clinic D,Not Contacted/Cold,63,No,
L00034,04-05-2025,,Google Ads,Dental Implant,Clinic B,Contacted - No Appointment,36,No,
L00035,12-03-2025,P00035,Referral,Dental Crown,Clinic D,Appointment Booked,49,Yes,22-03-2025
L00036,29-11-2025,,Google Organic,General Dentistry,Clinic C,Contacted - No Appointment,41,No,
L00037,03-06-2025,,Referral,Teeth Whitening,Clinic B,Contacted - No Appointment,9,No,
L00038,06-09-2025,,Google Organic,General Dentistry,Clinic D,Not Contacted/Cold,48,No,
L00039,14-12-2025,,Google Ads,Invisalign,Clinic A,Contacted - No Appointment,33,No,
L00040,05-11-2025,P00040,Google Ads,General Dentistry,Clinic A,Appointment Booked,16,Yes,18-11-2025
L00041,27-05-2025,P00041,Referral,Invisalign,Clinic B,Appointment Booked,31,Yes,28-05-2025
L00042,21-08-2025,P00042,Facebook,Dental Implant,Clinic B,Appointment Booked,21,Yes,30-08-2025
L00043,15-07-2025,,Google Ads,General Dentistry,Clinic A,Contacted - No Appointment,25,No,
L00044,01-03-2025,P00044,Instagram,General Dentistry,Clinic C,Appointment Booked,34,Yes,02-03-2025
L00045,05-08-2025,,Facebook,Dental Crown,Clinic C,Contacted - No Appointment,19,No,
L00046,16-11-2025,,Instagram,Invisalign,Clinic B,Contacted - No Appointment,25,No,
L00047,28-11-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,8,No,
L00048,18-11-2025,,Google Organic,Root Canal,Clinic C,Contacted - No Appointment,29,No,
L00049,17-10-2025,,Referral,General Dentistry,Clinic D,Contacted - No Appointment,4,No,
L00050,29-01-2025,P00050,Google Ads,Dental Implant,Clinic A,Appointment Booked,34,Yes,04-02-2025
L00051,25-10-2025,,Facebook,General Dentistry,Clinic C,Contacted - No Appointment,3,No,
L00052,31-01-2025,,Facebook,Invisalign,Clinic D,Contacted - No Appointment,35,No,
L00053,18-11-2025,,Referral,Teeth Whitening,Clinic C,Contacted - No Appointment,26,No,
L00054,15-09-2025,P00054,Facebook,General Dentistry,Clinic C,Appointment Booked,19,Yes,27-09-2025
L00055,07-05-2025,,Facebook,Root Canal,Clinic B,Not Contacted/Cold,112,No,
L00056,29-09-2025,,Instagram,Root Canal,Clinic A,Contacted - No Appointment,30,No,
L00057,27-06-2025,,Facebook,Teeth Whitening,Clinic B,Not Contacted/Cold,49,No,
